display_name,username,user_description,user_id,followers_count,favourites_count,avatar,is_verified,following_count
NigeriaStories,Nigeria Stories,"Facts and amazing stories from Nigeria |

Don’t forget to turn our notification ON 🔔| DM for promo and partnership",1104311159203790849,477300,6543,https://pbs.twimg.com/profile_images/1380447351345668097/GYSwCSGR_normal.jpg,False,1
DeYork02,Truth Talker 💯💯💯,"My truth is my truth whether absolute or relative. Go to Court😄😅. My tweets are my view not ready for arguments. Crypto Enthusiasts, NFTs",1291375239532871680,5907,59360,https://pbs.twimg.com/profile_images/1700411779115839488/LgJIAMRM_normal.jpg,False,5346
flyairpeace,Air Peace,"The official Twitter channel for Air Peace airline. Daily flights to major cities in Nigeria and beyond. No Shortcuts, Safety First, Great Service.",2364221636,85636,9371,https://pbs.twimg.com/profile_images/1346923612272427013/SDkqFfe-_normal.jpg,False,188
TheBeautyofAfri,The Beauty of Africa 🌍,"Welcome to my Twitter showcasing Africa's splendor globally, revealing its authentic beauty in breathtaking landscapes and vibrant cultures.",1765468583792943104,3436,4393,https://pbs.twimg.com/profile_images/1765468826651566080/cpcctMCu_normal.jpg,False,4183
fattylincorn_01,36kinniun👑 🦁 🕊,"#YorubaSpace Host. The End Matters Most. Social media influencer, Lover of Yoruba. Lover of Nigeria 🇳🇬 Transporter and media personality  #OshodiToTheWorld.",1112384337662668802,13993,74278,https://pbs.twimg.com/profile_images/1769065049694285824/fL6P3vWM_normal.jpg,False,5663
RofiatAdesina,Huntress Personal Shopper🛒🛍️,🏬SEEK AND YOU SHALL FIND STORE🏬 Professional Nurse🫧 Skilled writer🫧 Creative Designer 🫧 Personal Shopper🫧Fashion Stylist🫧 Contact 👇🏾,1072184395979767808,2283,35337,https://pbs.twimg.com/profile_images/1805949108072419328/mg4KmyJo_normal.jpg,False,1492
flyairpeace,Air Peace,"The official Twitter channel for Air Peace airline. Daily flights to major cities in Nigeria and beyond. No Shortcuts, Safety First, Great Service.",2364221636,85636,9371,https://pbs.twimg.com/profile_images/1346923612272427013/SDkqFfe-_normal.jpg,False,188
iNspiritextra,iNspiritextra,"Unlock the world of Christian content! Inspiring sermons, uplifting music, & lots more! Follow our rural education initiative @RuralRaysAfrica DM for enquiries!",1129689823890026496,10009,12253,https://pbs.twimg.com/profile_images/1786682225674592256/0KcGVabH_normal.jpg,False,37
babaj1de,Raq & Ash,"T’s Husband Full time | Part time Trader. A man God loves. Division Stores 🚀📱, Ohms Robotics 🤖, 👟Lord. Psalm 119 : 71",188032371,4436,1850,https://pbs.twimg.com/profile_images/1783148631509372928/_sfIVYd4_normal.jpg,False,738
NigeriaStories,Nigeria Stories,"Facts and amazing stories from Nigeria |

Don’t forget to turn our notification ON 🔔| DM for promo and partnership",1104311159203790849,477300,6543,https://pbs.twimg.com/profile_images/1380447351345668097/GYSwCSGR_normal.jpg,False,1
__deyemi,AYOMIPO ODUFUYE,#GodFirst... IG:_deyemi | |Based on believe | | Social Worker in the diaspora,213331011,465,2153,https://pbs.twimg.com/profile_images/1816446120819576832/ZguTFp19_normal.jpg,False,477
victorydizzy,victory,30bg for life❤️🇳🇬,1760398693239250944,55,1694,https://pbs.twimg.com/profile_images/1774338544162480129/Hks_uQz1_normal.jpg,False,123
Scarfizalbackup,Suleiman Abdulmalik,,1803723711142322176,211,13,https://pbs.twimg.com/profile_images/1803723978961248256/ZSOb1cv3_normal.jpg,False,598
flyairpeace,Air Peace,"The official Twitter channel for Air Peace airline. Daily flights to major cities in Nigeria and beyond. No Shortcuts, Safety First, Great Service.",2364221636,85636,9371,https://pbs.twimg.com/profile_images/1346923612272427013/SDkqFfe-_normal.jpg,False,188
RofiatAdesina,Huntress Personal Shopper🛒🛍️,🏬SEEK AND YOU SHALL FIND STORE🏬 Professional Nurse🫧 Skilled writer🫧 Creative Designer 🫧 Personal Shopper🫧Fashion Stylist🫧 Contact 👇🏾,1072184395979767808,2283,35337,https://pbs.twimg.com/profile_images/1805949108072419328/mg4KmyJo_normal.jpg,False,1492
jaymilayusuf,Jamila Yusuf,I love being meeeee,2226013797,1369,40347,https://pbs.twimg.com/profile_images/1795795189727961088/a5cJdQwf_normal.jpg,False,469
thebellicon,The Bell Icon,The Bell 🛎 Icon stands for notifications.We’re telling the rest of the world 🌎 to be notified of art and https://t.co/k8BhaxzOge for promotions.,1564914327609659392,158,453,https://pbs.twimg.com/profile_images/1630594903787880452/j2PiMA0A_normal.jpg,False,156
thatpoetclem,Dr Green🍏,"Delusionally 21. Fictitious. Poet. Performer. MC. MD. NeuroPsych Resident. #ChooseMentalHealth, #StopDrugAbuse🔞. Also @poetclem. Creating @sharethyverse. ♻️",582733596,15654,93819,https://pbs.twimg.com/profile_images/1487364542833250304/sOz2FL8z_normal.jpg,False,11256
flyairpeace,Air Peace,"The official Twitter channel for Air Peace airline. Daily flights to major cities in Nigeria and beyond. No Shortcuts, Safety First, Great Service.",2364221636,85636,9371,https://pbs.twimg.com/profile_images/1346923612272427013/SDkqFfe-_normal.jpg,False,188
taadelodun,Toyyib Adewale Adelodun,"Life Coach | Civil Engineer | 

“Every man has two lives, and the second starts when he realizes he has just one” — Confucius",170810770,265488,12659,https://pbs.twimg.com/profile_images/1685097982604009472/6ELIbaET_normal.jpg,False,7331
Onsogbu,Pst Okezie,"Social Media Influencer.
Gallantly standing on the MANDATE of President Bola Ahmed Tinubu GCFR.
An Arsenal FC fan.",1554954559575015424,33294,31954,https://pbs.twimg.com/profile_images/1787136757193990144/zboho_IJ_normal.jpg,False,5206
etondesign,David Eton,"A profit-driven easygoing Product Designer

⚡Product Designer and Content & Ideas Curator for @dezindesign",2688832064,117,2171,https://pbs.twimg.com/profile_images/1751023879181504512/ZDrhnrPD_normal.jpg,False,105
fieryeyes21,Chi Chi,"I'm a traveler; I reside wherever I wish, whenever I wish 🤷‍♀️👻 ⚖️ 👩‍⚖️",33108741,1269,11828,https://pbs.twimg.com/profile_images/1593882444725379072/E3kX6F12_normal.jpg,False,979
CHRISSY1RISTY,CHRISSY 🪼,,1502347527818989568,3161,66233,https://pbs.twimg.com/profile_images/1784369258429861888/wW844uxP_normal.jpg,False,2745
Tanmay65704525,Tanmay,Nature Lover 🌍❤️ Animal Lover 🐕,1181635317016580096,722,26185,https://pbs.twimg.com/profile_images/1811668361874640896/E6TWvxD6_normal.jpg,False,418
