display_name,username,user_description,user_id,followers_count,favourites_count,avatar,is_verified,following_count
DeYork02,Truth Talker 💯💯💯,"My truth is my truth whether absolute or relative. Go to Court😄😅. My tweets are my view not ready for arguments. Crypto Enthusiasts, NFTs",1291375239532871680,5912,59360,https://pbs.twimg.com/profile_images/1700411779115839488/LgJIAMRM_normal.jpg,False,5346
dean_marh,OG Baby😏🖤 ,🖤God first🖤Taurus🖤 Manchester (can be United or City😏 depends on who's winning 🌚)🖤Music🖤Baddo🖤 pronouns Nye/m/ego,3390824140,2836,55746,https://pbs.twimg.com/profile_images/1792981074043113472/8eR_Slyk_normal.jpg,False,1650
RofiatAdesina,Huntress Personal Shopper🛒🛍️,🏬SEEK AND YOU SHALL FIND STORE🏬 Professional Nurse🫧 Skilled writer🫧 Creative Designer 🫧 Personal Shopper🫧Fashion Stylist🫧 Contact 👇🏾,1072184395979767808,2286,35338,https://pbs.twimg.com/profile_images/1805949108072419328/mg4KmyJo_normal.jpg,False,1493
iNspiritextra,iNspiritextra,"Unlock the world of Christian content! Inspiring sermons, uplifting music, & lots more! Follow our rural education initiative @RuralRaysAfrica DM for enquiries!",1129689823890026496,10011,12253,https://pbs.twimg.com/profile_images/1786682225674592256/0KcGVabH_normal.jpg,False,37
TheBeautyofAfri,The Beauty of Africa 🌍,"Welcome to my Twitter showcasing Africa's splendor globally, revealing its authentic beauty in breathtaking landscapes and vibrant cultures.",1765468583792943104,3437,4393,https://pbs.twimg.com/profile_images/1765468826651566080/cpcctMCu_normal.jpg,False,4182
babaj1de,Raq & Ash,"T’s Husband Full time | Part time Trader. A man God loves. Division Stores 🚀📱, Ohms Robotics 🤖, 👟Lord. Psalm 119 : 71",188032371,4436,1850,https://pbs.twimg.com/profile_images/1783148631509372928/_sfIVYd4_normal.jpg,False,737
EEzimuoh,E,"Igbo, Christian, Conservative",169529829,3367,3172,https://pbs.twimg.com/profile_images/1789573859110158336/jHwq8H38_normal.jpg,False,1047
rubylaren,nwamaka.,Tech Sis. | MSc.Cyber security. | LLM International Business Law.| Business babe|Official Delegate to the UN|Matt 5:14|@RubysCollective|@BeautyAlleyUK|@HanevaCo,621940352,34601,21478,https://pbs.twimg.com/profile_images/1779472866687246336/ZHvU51Zc_normal.jpg,False,1710
thatpoetclem,Dr Green🍏,"Delusionally 21. Fictitious. Poet. Performer. MC. MD. NeuroPsych Resident. #ChooseMentalHealth, #StopDrugAbuse🔞. Also @poetclem. Creating @sharethyverse. ♻️",582733596,15656,93819,https://pbs.twimg.com/profile_images/1487364542833250304/sOz2FL8z_normal.jpg,False,11256
EEzimuoh,E,"Igbo, Christian, Conservative",169529829,3367,3172,https://pbs.twimg.com/profile_images/1789573859110158336/jHwq8H38_normal.jpg,False,1047
flyairpeace,Air Peace,"The official Twitter channel for Air Peace airline. Daily flights to major cities in Nigeria and beyond. No Shortcuts, Safety First, Great Service.",2364221636,85630,9371,https://pbs.twimg.com/profile_images/1346923612272427013/SDkqFfe-_normal.jpg,False,188
iNspiritextra,iNspiritextra,"Unlock the world of Christian content! Inspiring sermons, uplifting music, & lots more! Follow our rural education initiative @RuralRaysAfrica DM for enquiries!",1129689823890026496,10011,12253,https://pbs.twimg.com/profile_images/1786682225674592256/0KcGVabH_normal.jpg,False,37
Nigerialawyers,The Nigeria Lawyer,"TheNigeriaLawyer is an online media news, we provide you with the latest breaking lawsuits,legal news, stay up to date with trends in law firms & across Nigeria",3355150385,21032,51,https://pbs.twimg.com/profile_images/1659987790128373763/8agV0dqR_normal.jpg,False,997
Ir10Reen,Pinky’s Tea Party 💖 👑🫶💕,Welcome to Pinky’s Tea Party! 🫖☕️ Cozy up with a warm cup of tea and let’s share our love of all things Royal 🇨🇦💖. No DM’s please,805038394518552576,2703,236280,https://pbs.twimg.com/profile_images/1802095964880314368/mZeMT44m_normal.jpg,False,2049
jaymilayusuf,Jamila Yusuf,I love being meeeee,2226013797,1373,40407,https://pbs.twimg.com/profile_images/1795795189727961088/a5cJdQwf_normal.jpg,False,469
victorydizzy,victory,30bg for life❤️🇳🇬,1760398693239250944,55,1694,https://pbs.twimg.com/profile_images/1774338544162480129/Hks_uQz1_normal.jpg,False,123
fattylincorn_01,36kinniun👑 🦁 🕊,"#YorubaSpace Host. The End Matters Most. Social media influencer, Lover of Yoruba. Lover of Nigeria 🇳🇬 Transporter and media personality  #OshodiToTheWorld.",1112384337662668802,13995,74283,https://pbs.twimg.com/profile_images/1769065049694285824/fL6P3vWM_normal.jpg,False,5662
EEzimuoh,E,"Igbo, Christian, Conservative",169529829,3367,3172,https://pbs.twimg.com/profile_images/1789573859110158336/jHwq8H38_normal.jpg,False,1047
flyairpeace,Air Peace,"The official Twitter channel for Air Peace airline. Daily flights to major cities in Nigeria and beyond. No Shortcuts, Safety First, Great Service.",2364221636,85630,9371,https://pbs.twimg.com/profile_images/1346923612272427013/SDkqFfe-_normal.jpg,False,188
drpenking,Dr Penking™🇳🇬🇦🇺,"MBBS,MPH,MBA,Ph.D,MRCP|Creative Writer & Novelist|Creator|Medical Doctor|DM For Ads and Promo 📧",1647305408,192954,92330,https://pbs.twimg.com/profile_images/1661470946694254592/264o4zRV_normal.jpg,False,809
